Material_health;Product_circularity;Product_number;Product_description
***;****;700166000001;MUG GRÜN RUND
***;****;700166000002;MUG SCHWARZ RUND
***;****;700168200001;TASSE SCHWARZ
***;****;700168200002;TASSE GRÜN
***;****;700167100000;APEROSCHALE 2ER SET ECKIG
***;****;700165700000;CHOPSTICK SET
***;****;700169300000;BROTTASCHE
***;****;700165600000;KUCHENPLATTE RUND 30.5CM
***;****;700167500000;SCHNEIDEBRETT BRETT 39CM
***;****;700167600000;SCHNEIDEBRETT BRETT 48CM
***;****;700165500000;ETAGÈRE
***;****;700165000007;BOWL BLAU 23CM
***;****;700165000008;BOWL BRAUN 23CM
***;****;700165000009;BOWL ROT 23CM
***;****;700165000004;BOWL BLAU 15CM
***;****;700165000005;BOWL BRAUN 15CM
***;****;700165000006;BOWL ROT 15CM
***;****;700165000001;BOWL BLAU 11.6CM
***;****;700165000002;BOWL BRAUN 11.6cm
***;****;700165000003;BOWL ROT 11.6cm
***;****;700165200001;TEEBECHER 4ER SET
***;****;700165200002;TEEBECHER 4ER SET MUSTER
***;****;700165800001;MUG MIT GOLDHENKEL LINIEN
***;****;700165800002;MUG MIT GOLDHENKEL
***;****;700170500001;M-BUDGET ESPRESSOTASSE MIT UNTERTELLER
***;****;700170500002;M-BUDGET KAFFETASSE MIT UNTERTELLER
***;****;700170500003;M-BUDGET TASSE
***;****;700170500004;M-BUDGET DESSERTTELLER
***;****;700170500005;M-BUDGET TELLER FLACH
***;****;700170500006;M-BUDGET TELLER TIEF
***;****;700170500007;M-BUDGET SCHÜSSEL 14.2CM
***;****;700170500008;M-BUDGET SCHÜSSEL 18CM
***;****;700170500009;"M-BUDGET SET 12TLG.
4pcs of 700170500004
4pcs of 700170500005
4pcs of 700170500007"
***;****;700167300000;APEROSCHALE 2ER SET
***;****;700168300000;EIERTELLER VIERECKIG
***;****;700168800000;MILCHKÄNNCHEN KLEIN
***;****;700168900000;MILCHKÄNNCHEN GROSS
***;****;700169700000;ZUCKERDOSE
***;****;700166900000;APEROSCHALE 3ER SET AUF BAMBUSTRAY RUND
***;****;700167000000;APEROSCHALE 3ER SET AUF BAMBUSTRAY
***;****;700168500000;EIERBECHER 6ER SET
***;****;700168700000;ZUCKERDOSE 250ML
***;****;700338600000;TABLECLOTH CLIP SET OF 4
***;****;700349200000;TABLECLOTH COVER 140X260CM SET OF 2
*;*;700363400001;TABLE PROTECTOR 110X240CM
*;*;700363400002;TABLE PROTECTOR 85X120CM
***;****;700373600070;TABLE RUNNER BAMBOO NATURAL
***;****;700373500070;PLACEMAT BAMBOO NATURAL
***;****;700364800054;TABLE RUNNER RIB OCHER 
***;****;700364800062;TABLE RUNNER RIB GREEN 
***;****;700364800082;TABLE RUNNER RIB GREY 
***;****;700364700054;PLACEMAT RIB OCHRE 1 PCS
***;****;700364700062;PLACEMAT RIB GREEN 1 PCS
***;****;700364700082;PLACEMAT RIB GREY 1 PCS
*;*;700368900020;TABLE RUNNER PVC WOVEN HERRINGBONE BLACK
*;*;700375200000;TABLE RUNNER PVC WOVEN GREY
*;*;700375300000;TABLE RUNNER PVC WOVEN BEIGE
*;*;700374700000;PLACEMAT PVC WOVEN HERRINGBONE BLACK
*;*;700374500000;PLACEMAT PVC WOVEN GREY
*;*;700374600000;PLACEMAT PVC WOVEN BEIGE
*;*;700374800000;PLACEMAT WOVEN BEIGE
*;*;700374900000;PLACEMAT WOVEN ANTHRACITE
***;****;700375000000;PLACEMAT MAIZE
***;****;700375100000;PLACEMAT SEA GRASS
***;**;700375400000;TABLCLOTH FLOWERS 140X260CM
***;****;700375500000;GM TD PUSTEBLUME 140X260CM
***;****;700375600000;TABLECLOTH STRIPES 140X260CM
***;****;700375700000;TABLECLOTH SALT N'PEPA 140X260CM
***;****;700375800000;TABLECLOTH BASIC WHITE 170X300CM
***;****;700375900000;GM TD JACQUARD 140X260CM
***;****;700376000000;GM TD TWO TONE 140X260CM
***;****;700376100000;GM TD TWO TONE 140X180CM
*;*;700376300000;GM TD PLASTIK ARTSI 140X180CM
*;*;700376400000;GM TD PLASTIK EUKALYPTUS 140X180CM
***;**;700376500000;GM TD ACRYL GINKO 138X260CM
***;**;700376600000;GM TD ACRYL PUNKTE 138X260CM
***;****;705094100000;BACKFORM Unicorn
0;0;705096400000;Decora Lebensmittelfarben Primärfarben set
0;0;705096500000;Decora Lebensmittelfarbe schwarz
0;0;705096600000;Decora Lebensmittelfarbe grün
0;0;705096700000;Decora Lebensmittelfarbe orange
0;0;705096800000;Decora Lebensmittelfarbe violette
0;0;705096900000;Decora Lebensmittelfarbe pink
0;0;705097000000;Decora Zuckerperlen silber
0;0;705097100000;Decora Zuckerperlen weiss
0;0;705097200000;Decora Zuckerperlen bunt
0;0;705097300000;Decora Zuckerperlen pink
