Product_number;Product_description;M-Check Packaging
111436100200;FH ADR GE GRTA HOLFAELLERBROT 250G HB;4
111120900200;FH ADR VD IP GESELLENBROT 250G HB;4
111411600270;FH ADR LU BASLER-BROT 250G HB;4
111401400200;FH IP BUTTERZOPF 300G HB;4
111403400200;FH ADR AA IP HUUSBROT 300G HB;4
111443000200;FH IP MAILAENDER BROT HB;4
111457700200;FH ADR GE GRTA MAILAENDERBROT 300G HB;4
111442800200;FH MAISFELDBROT HB;4
111401400270;FH ADR LU BUTTERZOPF 300G HB;4
111421100200;FH ADR LU IP BUTTERWEGGEN 300G HB;4
111420100200;FH BURGUNDER-BROT HB;4
111403300200;FH ADR VD IP CENTERBROT 330G HB;4
111442400200;FH IP KARTOFFELBR. NUSS 350G HB;4
111401900200;FH ADR AA IP BESTER BUTTERZOPF 350G HB;4
111430900200;FH ADR LU IP DINKELBROT HB;4
111430900210;FH DINKELBROT 350G HB LU;4
111474300200;FH BIO SONNENKRANZ 360G HB;4
111112000200;FH IP CRUSTA BAGUETTE 360G HB;4
111159200200;FH ADR AA IP CRUSTA BAGUETTE 360G HB;4
111140000200;FH ADR GE GRTA GENFERBROT HB;4
111111200200;FH ADR GE GRTA LA CLEMENCE HB;4
111406700200;FH ADR VD PAIN DE LA VENOGE 360G HB;4
111151200200;FH IP PANE PASSIONE RUSTICO 380G HB;4
111457900200;FH ADR IP KRUSTENKRANZ 400G HB;4
111481800200;FH IP TESSINERBROT HELL 400G HB;4
111188100200;FH BIO FLUTES 400G HB;4
111458800200;FH ADR GE GRTA KRUSTENKRANZ 400G HB;4
111474200200;FH BIO SONNENHOF-BROT 400G HB;4
111440000200;FH ADR AA IP LANDBROT 400G HB;4
111486900200;FH IP VOLLKORN-LANDBROT 400G HB;4
111481800270;FH ADR LU TESSINERBROT 400G HB;4
111413700200;FH MARRONI-BROT 400G HB;4
111488300200;FH IP BAUMNUSSBROT 400G HB;4
111473500200;FH ADR ZH BUUREBROT DUNKEL 400G HB;4
111410800200;FH ADR ZH BUTTERWEGGEN 400G HB;4
111439900200;FH IP KORN-FIT-BROT 400G HB;4
111435800200;FH MAISERNTEBROT RUND 400G HB;4
111478700200;FH ADR IP ZH EINKORN DINKEL BROT 400G HB;4
111418600200;FH IP ZUMIKER BROT 400G HB;4
111466300200;FH IP HERCULES CLASSICO VIERTEL 410G HB;4
111446400200;FH IP NUSSBROT HB;4
111402000200;FH IP BUTTERZOPF 500G HB;4
111459300200;FH ADR HOLZFAELLERBROT 500G HB;4
111011800200;FH ADR ZH IP HOLZFAELLERBR. RUCH 500G HB;4
111411500200;FH IP BASLER-BROT 500G HB;4
111459100200;FH ADR AA IP CENTERBROT 500G HB;4
111471200200;FH ADR AA IP SEELAENDER-BROT 500G HB;4
111455100200;FH IP HUUSBECK SAUERTEIGBROT 500G HB;4
111488600200;FH IP CENTERBROT 500G HB;4
111402000270;FH ADR LU BUTTERZOPF 500G HB;4
111411900200;FH ADR AA IP BERNER-BROT RUCH 500G HB;4
